employee_id,date,check_in,check_out,status,working_hours
1001,2024-01-01,1900-01-01 09:58:00,1900-01-01 18:22:00,Late,8.4
1001,2024-01-02,1900-01-01 09:18:00,1900-01-01 17:24:00,Present,8.1
1001,2024-01-03,1900-01-01 09:19:00,1900-01-01 16:34:00,Present,7.25
1001,2024-01-04,,,Absent,0.0
1001,2024-01-05,1900-01-01 09:00:00,1900-01-01 17:23:00,Present,8.383333333333333
1001,2024-01-06,,,Absent,0.0
1001,2024-01-07,1900-01-01 09:07:00,1900-01-01 17:29:00,Present,8.366666666666667
1001,2024-01-08,1900-01-01 09:08:00,1900-01-01 18:29:00,Present,9.35
1001,2024-01-09,1900-01-01 10:16:00,1900-01-01 18:22:00,Late,8.1
1001,2024-01-10,1900-01-01 09:06:00,1900-01-01 18:32:00,Present,9.433333333333334
1001,2024-01-11,1900-01-01 09:20:00,1900-01-01 18:45:00,Late,9.416666666666666
1001,2024-01-12,1900-01-01 10:13:00,1900-01-01 17:16:00,Late,7.05
1001,2024-01-13,1900-01-01 09:09:00,1900-01-01 16:39:00,Late,7.5
1001,2024-01-14,,,Absent,0.0
1001,2024-01-15,1900-01-01 09:19:00,1900-01-01 16:34:00,Present,7.25
1001,2024-01-16,1900-01-01 09:07:00,1900-01-01 17:21:00,Present,8.233333333333333
1001,2024-01-17,,,Absent,0.0
1001,2024-01-18,1900-01-01 09:16:00,1900-01-01 18:26:00,Present,9.166666666666666
1001,2024-01-19,1900-01-01 09:00:00,1900-01-01 16:19:00,Present,7.316666666666666
1001,2024-01-20,1900-01-01 09:04:00,1900-01-01 16:10:00,Present,7.1
1001,2024-01-21,1900-01-01 09:10:00,1900-01-01 17:23:00,Present,8.216666666666667
1001,2024-01-22,1900-01-01 09:04:00,1900-01-01 16:14:00,Present,7.166666666666667
1001,2024-01-23,,,Absent,0.0
1001,2024-01-24,1900-01-01 09:19:00,1900-01-01 16:29:00,Present,7.166666666666667
1001,2024-01-25,1900-01-01 09:15:00,1900-01-01 16:24:00,Present,7.15
1001,2024-01-26,1900-01-01 09:53:00,1900-01-01 17:05:00,Late,7.2
1001,2024-01-27,1900-01-01 09:31:00,1900-01-01 16:32:00,Late,7.016666666666667
1001,2024-01-28,1900-01-01 09:13:00,1900-01-01 18:16:00,Present,9.05
1001,2024-01-29,1900-01-01 09:01:00,1900-01-01 18:15:00,Present,9.233333333333333
1001,2024-01-30,1900-01-01 09:19:00,1900-01-01 16:33:00,Late,7.233333333333333
1002,2024-01-01,1900-01-01 09:12:00,1900-01-01 16:28:00,Present,7.266666666666667
1002,2024-01-02,,,Absent,0.0
1002,2024-01-03,1900-01-01 09:14:00,1900-01-01 17:25:00,Present,8.183333333333334
1002,2024-01-04,1900-01-01 09:04:00,1900-01-01 18:08:00,Present,9.066666666666666
1002,2024-01-05,1900-01-01 09:11:00,1900-01-01 16:25:00,Present,7.233333333333333
1002,2024-01-06,1900-01-01 09:10:00,1900-01-01 18:19:00,Present,9.15
1002,2024-01-07,1900-01-01 09:14:00,1900-01-01 18:43:00,Present,9.483333333333333
1002,2024-01-08,1900-01-01 09:18:00,1900-01-01 16:22:00,Present,7.066666666666666
1002,2024-01-09,1900-01-01 10:00:00,1900-01-01 19:16:00,Late,9.266666666666667
1002,2024-01-10,1900-01-01 09:16:00,1900-01-01 16:22:00,Present,7.1
1002,2024-01-11,1900-01-01 09:05:00,1900-01-01 18:07:00,Present,9.033333333333333
1002,2024-01-12,1900-01-01 09:09:00,1900-01-01 17:15:00,Present,8.1
1002,2024-01-13,1900-01-01 09:05:00,1900-01-01 17:28:00,Present,8.383333333333333
1002,2024-01-14,,,Absent,0.0
1002,2024-01-15,1900-01-01 09:13:00,1900-01-01 16:41:00,Present,7.466666666666667
1002,2024-01-16,1900-01-01 09:08:00,1900-01-01 18:09:00,Present,9.016666666666667
1002,2024-01-17,1900-01-01 09:01:00,1900-01-01 16:18:00,Present,7.283333333333333
1002,2024-01-18,1900-01-01 09:01:00,1900-01-01 17:16:00,Present,8.25
1002,2024-01-19,1900-01-01 09:11:00,1900-01-01 17:26:00,Present,8.25
1002,2024-01-20,1900-01-01 09:04:00,1900-01-01 16:09:00,Present,7.083333333333333
1002,2024-01-21,1900-01-01 09:19:00,1900-01-01 16:42:00,Present,7.383333333333334
1002,2024-01-22,1900-01-01 09:11:00,1900-01-01 18:20:00,Present,9.15
1002,2024-01-23,1900-01-01 09:08:00,1900-01-01 17:25:00,Present,8.283333333333333
1002,2024-01-24,1900-01-01 09:13:00,1900-01-01 17:20:00,Present,8.116666666666667
1002,2024-01-25,1900-01-01 09:04:00,1900-01-01 17:19:00,Present,8.25
1002,2024-01-26,1900-01-01 09:04:00,1900-01-01 18:08:00,Present,9.066666666666666
1002,2024-01-27,,,Absent,0.0
1002,2024-01-28,1900-01-01 09:00:00,1900-01-01 18:12:00,Present,9.2
1002,2024-01-29,1900-01-01 09:00:00,1900-01-01 17:21:00,Present,8.35
1002,2024-01-30,1900-01-01 09:28:00,1900-01-01 16:45:00,Late,7.283333333333333
1003,2024-01-01,,,Absent,0.0
1003,2024-01-02,1900-01-01 09:08:00,1900-01-01 18:26:00,Present,9.3
1003,2024-01-03,1900-01-01 09:08:00,1900-01-01 18:32:00,Present,9.4
1003,2024-01-04,1900-01-01 09:15:00,1900-01-01 17:45:00,Present,8.5
1003,2024-01-05,1900-01-01 09:02:00,1900-01-01 18:24:00,Present,9.366666666666667
1003,2024-01-06,1900-01-01 09:32:00,1900-01-01 17:48:00,Late,8.266666666666667
1003,2024-01-07,1900-01-01 09:15:00,1900-01-01 17:23:00,Present,8.133333333333333
1003,2024-01-08,1900-01-01 09:18:00,1900-01-01 16:22:00,Present,7.066666666666666
1003,2024-01-09,1900-01-01 09:11:00,1900-01-01 17:40:00,Present,8.483333333333333
1003,2024-01-10,1900-01-01 09:06:00,1900-01-01 16:31:00,Present,7.416666666666667
1003,2024-01-11,,,Absent,0.0
1003,2024-01-12,,,Absent,0.0
1003,2024-01-13,1900-01-01 09:07:00,1900-01-01 18:09:00,Present,9.033333333333333
1003,2024-01-14,1900-01-01 09:05:00,1900-01-01 17:35:00,Present,8.5
1003,2024-01-15,1900-01-01 09:10:00,1900-01-01 16:16:00,Present,7.1
1003,2024-01-16,1900-01-01 09:06:00,1900-01-01 18:24:00,Present,9.3
1003,2024-01-17,1900-01-01 09:13:00,1900-01-01 16:13:00,Present,7.0
1003,2024-01-18,1900-01-01 09:04:00,1900-01-01 16:13:00,Present,7.15
1003,2024-01-19,1900-01-01 09:19:00,1900-01-01 17:33:00,Present,8.233333333333333
1003,2024-01-20,,,Absent,0.0
1003,2024-01-21,1900-01-01 09:08:00,1900-01-01 17:11:00,Present,8.05
1003,2024-01-22,1900-01-01 10:14:00,1900-01-01 18:39:00,Late,8.416666666666666
1003,2024-01-23,1900-01-01 09:03:00,1900-01-01 16:16:00,Present,7.216666666666667
1003,2024-01-24,1900-01-01 09:00:00,1900-01-01 17:19:00,Present,8.316666666666666
1003,2024-01-25,1900-01-01 09:09:00,1900-01-01 18:33:00,Present,9.4
1003,2024-01-26,1900-01-01 09:04:00,1900-01-01 17:15:00,Present,8.183333333333334
1003,2024-01-27,1900-01-01 09:12:00,1900-01-01 16:26:00,Present,7.233333333333333
1003,2024-01-28,1900-01-01 09:20:00,1900-01-01 18:47:00,Present,9.45
1003,2024-01-29,1900-01-01 09:01:00,1900-01-01 16:26:00,Present,7.416666666666667
1003,2024-01-30,1900-01-01 09:02:00,1900-01-01 16:16:00,Present,7.233333333333333
1004,2024-01-01,1900-01-01 09:17:00,1900-01-01 16:38:00,Present,7.35
1004,2024-01-02,1900-01-01 09:16:00,1900-01-01 16:16:00,Present,7.0
1004,2024-01-03,1900-01-01 09:07:00,1900-01-01 16:31:00,Present,7.4
1004,2024-01-04,1900-01-01 09:08:00,1900-01-01 18:18:00,Present,9.166666666666666
1004,2024-01-05,1900-01-01 09:12:00,1900-01-01 18:33:00,Present,9.35
1004,2024-01-06,1900-01-01 09:15:00,1900-01-01 16:41:00,Present,7.433333333333334
1004,2024-01-07,1900-01-01 09:22:00,1900-01-01 18:28:00,Late,9.1
1004,2024-01-08,1900-01-01 10:20:00,1900-01-01 18:36:00,Late,8.266666666666667
1004,2024-01-09,1900-01-01 09:14:00,1900-01-01 16:33:00,Present,7.316666666666666
1004,2024-01-10,1900-01-01 09:09:00,1900-01-01 18:32:00,Present,9.383333333333333
1004,2024-01-11,1900-01-01 09:16:00,1900-01-01 17:31:00,Present,8.25
1004,2024-01-12,1900-01-01 09:09:00,1900-01-01 17:30:00,Present,8.35
1004,2024-01-13,1900-01-01 09:11:00,1900-01-01 17:33:00,Present,8.366666666666667
1004,2024-01-14,,,Absent,0.0
1004,2024-01-15,1900-01-01 09:02:00,1900-01-01 16:06:00,Present,7.066666666666666
1004,2024-01-16,1900-01-01 09:18:00,1900-01-01 17:39:00,Present,8.35
1004,2024-01-17,1900-01-01 09:04:00,1900-01-01 17:17:00,Present,8.216666666666667
1004,2024-01-18,1900-01-01 09:02:00,1900-01-01 18:02:00,Present,9.0
1004,2024-01-19,1900-01-01 09:15:00,1900-01-01 17:41:00,Present,8.433333333333334
